0,924,2124,1139,1744,1413:(6,6)
0,987,2204,1205,2367,1431:(6,6)
0,1124,2271,1342,2495,1496:(6,6)
0,1118,2240,1267,2468,1482:(6,6)
0,1076,2225,1293,2457,1445:(6,6)
301,510,2303,0,1613,674:(6,18)
300,511,2302,0,2962,876:(6,18)
304,517,2339,0,2296,21:(6,18)
293,502,2315,0,1599,734:(6,18)
362,506,1650,0,2371,85:(6,18)
1529,1408,3062,704,2683,0:(6,30)
1568,1447,3145,820,2774,0:(6,30)
1565,1311,3163,548,3246,0:(6,30)
1689,1506,2301,797,2745,0:(6,30)
1592,1401,3138,717,3288,0:(6,30)
1716,2057,2869,1817,2752,0:(6,42)
1794,2062,9490,2606,3836,0:(6,42)
1730,2061,9454,2615,3840,0:(6,42)
1736,2073,9503,1444,2752,0:(6,42)
1762,2098,2897,1853,2849,0:(6,42)
252,0,1067,153,755,766:(18,6)
252,0,1997,285,822,833:(18,6)
258,0,1147,152,762,773:(18,6)
249,0,1142,215,821,832:(18,6)
258,0,1073,152,754,765:(18,6)
1237,1048,1990,0,1213,891:(18,18)
1212,1028,2008,0,1252,928:(18,18)
1241,1052,2045,0,1216,846:(18,18)
1237,983,1988,0,1144,883:(18,18)
1329,1147,2085,0,2747,911:(18,18)
1984,700,2004,0,2294,412:(18,30)
1945,581,1897,0,2304,495:(18,30)
1905,647,1925,0,2272,362:(18,30)
1998,723,2020,0,894,495:(18,30)
1932,650,1954,0,2312,349:(18,30)
1471,1230,3979,0,2789,93:(18,42)
1444,1188,4050,0,2077,79:(18,42)
1317,1133,3947,899,2749,0:(18,42)
1327,1076,3933,902,2759,0:(18,42)
1351,1163,3954,983,2844,0:(18,42)
1835,0,1226,1369,993,2022:(30,6)
1840,0,1205,1347,945,2030:(30,6)
1958,0,1156,1859,966,2078:(30,6)
1934,0,1231,840,1642,2119:(30,6)
2014,0,1899,1981,2722,2136:(30,6)
1385,0,537,22,701,570:(30,18)
1433,0,579,83,531,744:(30,18)
1382,0,630,93,379,727:(30,18)
1407,0,459,83,223,625:(30,18)
1445,0,584,154,942,816:(30,18)
1560,0,812,22,895,174:(30,30)
1525,763,644,0,72,20:(30,30)
1622,0,840,152,797,174:(30,30)
1471,828,709,0,731,1128:(30,30)
1456,770,714,0,671,1369:(30,30)
1632,0,765,163,787,1274:(30,30)
3800,867,2695,2513,52,0:(30,42)
3808,876,2699,2570,61,0:(30,42)
3763,847,1874,2453,0,11:(30,42)
2667,815,2619,1534,61,0:(30,42)
2689,779,2711,1185,0,72:(30,42)
1451,0,11,604,173,1976:(42,6)
1463,0,11,614,219,1999:(42,6)
1454,0,11,598,219,1953:(42,6)
1446,0,11,667,409,2030:(42,6)
1448,0,72,655,225,1957:(42,6)
2057,997,1008,883,0,2294:(42,18)
1872,757,768,849,0,2114:(42,18)
2138,518,1002,950,0,2193:(42,18)
1949,934,945,824,0,2068:(42,18)
2050,972,983,923,0,2168:(42,18)
2214,737,820,2590,0,1542:(42,30)
2112,725,860,2565,0,1396:(42,30)
2159,724,2046,2545,0,1436:(42,30)
2217,743,821,2109,0,1611:(42,30)
2249,726,868,813,0,1702:(42,30)
2347,1092,1445,801,0,1136:(42,42)
2296,1189,1600,2589,0,1098:(42,42)
2373,1177,1325,2546,0,1086:(42,42)
2335,1188,1400,2577,0,1092:(42,42)
2497,1269,1352,2589,0,1245:(42,42)
3004,1581,0,2125,1077,2915:(54,6)
